hedef,olcut,deger
yas,CV R^2,-0.0068509693240219605
cinsiyet,dengeli dogruluk,0.7393092105263157
tarayici,dengeli dogruluk,0.6681898959126682
tani,dengeli dogruluk,0.5878787878787879
