method,balanced_accuracy,ba_ci_low,ba_ci_high,ba_ci_low_uncorrected,ba_ci_high_uncorrected,f1_macro,f1_macro_sd,auc,p_vs_chance
Tucker+MLP,0.5443001443001443,0.475766803958196,0.6128334846420925,0.513067953374801,0.5755323352254875,0.5171634997277964,0.08641908412126026,0.5606585333858062,0.09365464268359469
Tucker(arinmis)+MLP,0.5354978354978355,0.4762918956779687,0.5947037753177022,0.5085163516369556,0.5624793193587153,0.4917567942532618,0.09153174528606609,0.5312540994359176,0.10966321677904556
Demo+LogReg,0.6672438672438672,0.5898431926270991,0.7446445418606353,0.631970631832903,0.7025171026548314,0.6629857099207882,0.06349396103184761,0.7179817657090383,0.00019319335504164314
Tucker+Demo+MLP,0.526984126984127,0.4391117982638763,0.6148564557043776,0.48693872231025676,0.5670295316579972,0.5050901931257671,0.088675080206612,0.5485635576544666,0.2604099676309992
Dummy(cogunluk),0.5,0.5,0.5,0.5,0.5,0.3364102564102564,0.0026004746299339164,0.5,1.0
