degisken,test,istatistik,p
yas,Kruskal-Wallis,5.753183797263003,0.016458801582084757
gender,ki-kare,1.3713002417305853,0.24158860978264501
scanner,ki-kare,29.02614645686235,7.140796626150258e-08
