method,accuracy,accuracy_sd,accuracy_ci95,balanced_accuracy,balanced_accuracy_sd,balanced_accuracy_ci95,f1_macro,f1_macro_sd,f1_macro_ci95,f1_weighted,f1_weighted_sd,f1_weighted_ci95,kappa,kappa_sd,kappa_ci95,auc,auc_sd,auc_ci95
Tucker+MLP,0.5437632135306554,0.05827090399735707,"[0.511, 0.576]",0.5443001443001443,0.05639803529219807,"[0.513, 0.576]",0.5171634997277964,0.08641908412126026,"[0.469, 0.565]",0.5168051736758684,0.08778159847589703,"[0.468, 0.565]",0.08885800548425772,0.11272577238040309,"[0.026, 0.151]",0.5606585333858062,0.06430938207847484,"[0.525, 0.596]"
Tucker+LogReg,0.6067653276955602,0.04386664744316456,"[0.582, 0.631]",0.606998556998557,0.043233703804593786,"[0.583, 0.631]",0.6034089761791379,0.044289789413305254,"[0.579, 0.628]",0.6033683934973674,0.04457018696047574,"[0.579, 0.628]",0.2139458808100868,0.08656210169792518,"[0.166, 0.262]",0.6090187590187591,0.05681178927938684,"[0.578, 0.640]"
PCA+MLP,0.5254756871035942,0.046898360631160346,"[0.500, 0.551]",0.5264069264069263,0.04728370424904557,"[0.500, 0.553]",0.46612320611274055,0.0951799961553051,"[0.413, 0.519]",0.4657842505701107,0.09476689546106987,"[0.413, 0.518]",0.052583234184442974,0.09449705014001632,"[0.000, 0.105]",0.551777515413879,0.07105226610186989,"[0.512, 0.591]"
Voxel-MLP,0.6024312896405919,0.06619926486294313,"[0.566, 0.639]",0.6028138528138528,0.06658263383234643,"[0.566, 0.640]",0.6004984815335566,0.06647144573546017,"[0.564, 0.637]",0.6004441316401685,0.06640537976513626,"[0.564, 0.637]",0.20531844474077415,0.13272346522035827,"[0.132, 0.279]",0.6145152826971008,0.06022164841991553,"[0.581, 0.648]"
Dummy,0.5175475687103595,0.07772565405227115,"[0.475, 0.561]",0.5172438672438672,0.07839249652151128,"[0.474, 0.561]",0.514938126613128,0.08008759020608403,"[0.471, 0.559]",0.5152174075321792,0.07966066315852416,"[0.471, 0.559]",0.03431186846683281,0.15697583070937887,"[-0.053, 0.121]",0.5172438672438672,0.0783924965215113,"[0.474, 0.561]"
