rank,test_recon_error,train_explained_energy
2,0.5406170719083068,0.10753849993294147
4,0.5077929188973599,0.21202513550307758
6,0.4743464119253702,0.30585484596947604
8,0.4473556421418715,0.3795252523222772
10,0.42327223791160723,0.4453830042318669
12,0.4003179557343352,0.5021799104895618
16,0.3596545493417754,0.5974759026846395
