rank,n_features,mean,std
2,8,0.6287718817130582,0.0631239210986351
4,64,0.6079449277692491,0.02832899316293913
6,216,0.6376620047008923,0.06007336635873476
8,512,0.6541073465033292,0.10583157854943881
10,1000,0.632506871416484,0.04742081385341439
12,1728,0.6509447019358179,0.07221890411096124
