rank,test_recon_error,train_explained_energy
2,0.5354571787463651,0.11021824510558392
4,0.5039486859856224,0.21156337644494672
6,0.47211724059927324,0.3044402241831034
8,0.4461900698741709,0.37855454661912835
10,0.42200596815473357,0.44450032197102735
12,0.3991970288313584,0.5018058639842358
16,0.358943680503973,0.5971926895374808
