method,balanced_accuracy,ba_ci_low,ba_ci_high,ba_ci_low_uncorrected,ba_ci_high_uncorrected,f1_macro,f1_macro_sd,auc,p_vs_chance
Tucker+MLP,0.39555074555074554,0.3054207527011553,0.48568073840033577,0.3544764723468867,0.4366250187546044,0.34873944988521033,0.0690401791837963,0.6521983898239878,0.0019001932928370824
Tucker(arinmis)+MLP,0.34630531505531514,0.28069994007575993,0.41191069003487035,0.3164074640696972,0.37620316604093307,0.2988173799987779,0.047349061173107554,0.6135325981273948,0.003556856170378042
Demo+LogReg,0.3561778499278499,0.2632672968130491,0.4490884030426507,0.31383641261599377,0.39851928723970603,0.3251981710145529,0.06749868622308995,0.6080612255672065,0.013993491980020645
Tucker+Demo+MLP,0.40211640211640204,0.29594601391929015,0.5082867903135139,0.3537321585023435,0.45050064573046056,0.3448893408714024,0.10128745427902179,0.6581461631970006,0.004132236971320147
Dummy(cogunluk),0.25,0.25,0.25,0.25,0.25,0.1682051282051282,0.0013002373149669582,0.5,1.0
