test_scanner,n_train,n_test,balanced_accuracy,balanced_accuracy_prior_adj,f1_macro,auc
35343.0,48,127,0.7174509803921569,0.6472549019607843,0.665496049165935,0.7388235294117648
35426.0,127,48,0.6730434782608696,0.7043478260869566,0.6613756613756614,0.7582608695652173
