rank,n_features,mean,std
2,8,0.28801956649032645,0.054589659342332474
4,64,0.33800298710734866,0.09410873391734727
6,216,0.35884069425475595,0.09629356531941961
8,512,0.3473726690406257,0.0725654894578511
10,1000,0.379307131645129,0.09573777928260623
12,1728,0.39013862024117446,0.09657040055891061
