rank,n_features,mean,std
2,8,0.5702701562752458,0.06480992077925063
4,64,0.5719800917940494,0.07998219637306213
6,216,0.4996653642057242,0.08897780251697858
8,512,0.5001128987231473,0.08188638471167738
10,1000,0.5456367248155704,0.040719504903761965
12,1728,0.5097231779876162,0.03963040995143021
