hedef,olcut,deger
yas,CV R^2,0.03893943460703686
cinsiyet,dengeli dogruluk,0.7975418231478321
tarayici,dengeli dogruluk,0.7554418004058292
tani,dengeli dogruluk,0.594392523364486
