rank,test_recon_error,train_explained_energy
2,0.5280676620516109,0.11063273129604369
4,0.49749978820784635,0.2122350001259424
6,0.46756498630041,0.3059954958709945
8,0.44214157178600716,0.38004990766572616
10,0.41845701747835,0.44595035822286255
12,0.39610692971348094,0.5032641872321635
16,0.3566244552499404,0.5986022354140661
