method,balanced_accuracy,ba_ci_low,ba_ci_high,ba_ci_low_uncorrected,ba_ci_high_uncorrected,f1_macro,f1_macro_sd,auc,p_vs_chance
Tucker+MLP,0.7006666666666667,0.6190032225275419,0.7823301108057914,0.6631969087315168,0.7381364246018165,0.6854608365895307,0.05627204827625136,0.7661333333333332,5.919972647960847e-05
Tucker(arinmis)+MLP,0.6373333333333334,0.5444621316827729,0.7302045349838939,0.5947211035691249,0.679945563097542,0.611325759487066,0.10204527567135283,0.6709333333333333,0.0033967541556849667
Demo+LogReg,0.6933333333333332,0.6056248893336015,0.781041777333065,0.6530899392396462,0.7335767274270203,0.6681293403335856,0.06462820290137328,0.7584000000000001,0.00016189690240542287
Tucker+Demo+MLP,0.6940000000000002,0.6105302744801027,0.7774697255198977,0.6557014633277569,0.7322985366722434,0.674677215829958,0.06935084341800694,0.7637333333333333,0.00010002015695997901
Dummy(cogunluk),0.5,0.5,0.5,0.5,0.5,0.4166666666666668,1.1491900087240784e-16,0.5,1.0
