method,accuracy,accuracy_sd,accuracy_ci95,balanced_accuracy,balanced_accuracy_sd,balanced_accuracy_ci95,f1_macro,f1_macro_sd,f1_macro_ci95,f1_weighted,f1_weighted_sd,f1_weighted_ci95,kappa,kappa_sd,kappa_ci95,auc,auc_sd,auc_ci95
Tucker+MLP,0.3566596194503171,0.07858935028765758,"[0.313, 0.400]",0.39555074555074554,0.07417053498712103,"[0.354, 0.437]",0.34873944988521033,0.0690401791837963,"[0.311, 0.387]",0.3531791399432604,0.0937003278029597,"[0.301, 0.405]",0.1417537657558859,0.09150360316097941,"[0.091, 0.192]",0.6521983898239878,0.049235313012641294,"[0.625, 0.679]"
Tucker+LogReg,0.47459478505990127,0.06661700530892066,"[0.438, 0.511]",0.4121452621452622,0.059680420260939684,"[0.379, 0.445]",0.4179179039608477,0.06456437928048031,"[0.382, 0.454]",0.4786083328503695,0.06480475653786708,"[0.443, 0.514]",0.2069138323606923,0.0928971505038316,"[0.155, 0.258]",0.6513116058136992,0.04997989134230159,"[0.624, 0.679]"
PCA+MLP,0.2855884425651868,0.09611412357829792,"[0.232, 0.339]",0.33194745069745063,0.06800015174712863,"[0.294, 0.370]",0.24156099726362742,0.09107537968824911,"[0.191, 0.292]",0.24188627836972845,0.11000907578209469,"[0.181, 0.303]",0.08083911637161352,0.0707362422626961,"[0.042, 0.120]",0.6008381629120265,0.0679263803386996,"[0.563, 0.638]"
Voxel-MLP,0.35968992248062015,0.08353098396499366,"[0.313, 0.406]",0.38103054353054344,0.06617925017004539,"[0.344, 0.418]",0.34408689305896367,0.07552194007540312,"[0.302, 0.386]",0.3620004414034349,0.09306828393683152,"[0.310, 0.414]",0.13538115461803973,0.07783900548794943,"[0.092, 0.178]",0.646570279656404,0.04989511941570495,"[0.619, 0.674]"
Dummy,0.3468992248062015,0.05204364502830298,"[0.318, 0.376]",0.2726250601250601,0.052599729770438516,"[0.243, 0.302]",0.2632352830305798,0.05335212004911823,"[0.234, 0.293]",0.33838131195899307,0.05079966058273545,"[0.310, 0.367]",0.0042940136795873865,0.07991215861370973,"[-0.040, 0.049]",0.510197199934042,0.03640564431778353,"[0.490, 0.530]"
