grup,n,yas_ort,yas_sd,cinsiyet,tarayici
CONTROL,125,31.5,8.8,F:59 / M:66,35343.0:102 / 35426.0:23
SCHZ,50,36.5,8.9,F:12 / M:38,35343.0:25 / 35426.0:25
