rank,test_recon_error,train_explained_energy
2,0.5229931213125396,0.10771732424694111
4,0.4959360737533128,0.21555557021571498
6,0.46604119618193196,0.30927458727267804
8,0.4415444632472853,0.3827637716310403
10,0.41787816062627503,0.4477320745737008
12,0.3959890759660859,0.5045692891311302
16,0.35627650597855554,0.5995737541078693
