method,balanced_accuracy,ba_ci_low,ba_ci_high,ba_ci_low_uncorrected,ba_ci_high_uncorrected,f1_macro,f1_macro_sd,auc,p_vs_chance
Tucker+MLP,0.6555555555555556,0.5435250907673811,0.76758602034373,0.6041524529650772,0.7069586581460339,0.6215589047131994,0.0769297316570981,0.6828282828282829,0.004987954754742008
Tucker(arinmis)+MLP,0.5878787878787878,0.46048739134494415,0.7152701844126315,0.5294276064295729,0.6463299693280027,0.5483942916214463,0.08753906050244781,0.6505050505050504,0.08057138409004616
Demo+LogReg,0.742929292929293,0.5910081093420474,0.8948504765165386,0.6732230732829885,0.8126355125755975,0.6895805242653028,0.10988021632481834,0.7775252525252526,0.0020330817443726668
Tucker+Demo+MLP,0.6676767676767678,0.5733572438900356,0.7619962914634999,0.6244000021410576,0.7109535332124779,0.6159061914063547,0.05714863188804432,0.7222222222222221,0.0009508781302947078
Dummy(cogunluk),0.5,0.5,0.5,0.5,0.5,0.44000000000000017,1.7237850130861175e-16,0.5,1.0
