degisken,test,istatistik,p
yas,Kruskal-Wallis,8.340273470599323,0.0038775760679851464
gender,ki-kare,4.648001395534291,0.031089725033378732
scanner,ki-kare,21.717248647941712,3.1593775098850696e-06
