degisken,test,istatistik,p
yas,Kruskal-Wallis,10.82741399455195,0.0010000821926629375
gender,ki-kare,7.039460319609968,0.007973305358582513
scanner,ki-kare,16.363906660104988,5.227120260520034e-05
