method,accuracy,accuracy_sd,accuracy_ci95,balanced_accuracy,balanced_accuracy_sd,balanced_accuracy_ci95,f1_macro,f1_macro_sd,f1_macro_ci95,f1_weighted,f1_weighted_sd,f1_weighted_ci95,kappa,kappa_sd,kappa_ci95,auc,auc_sd,auc_ci95
Tucker+MLP,0.7,0.06856505072380548,"[0.662, 0.738]",0.6555555555555556,0.09282198616664651,"[0.604, 0.707]",0.6215589047131994,0.0769297316570981,"[0.579, 0.664]",0.719079906044616,0.06166197419672289,"[0.685, 0.753]",0.2590739585707061,0.1481303054574157,"[0.177, 0.341]",0.6828282828282829,0.09135293287770428,"[0.632, 0.733]"
Tucker+LogReg,0.7380952380952379,0.0670421882463504,"[0.701, 0.775]",0.6111111111111112,0.0853584448326346,"[0.564, 0.658]",0.6095401497658643,0.08945357549729824,"[0.560, 0.659]",0.7367679828369629,0.06260491658122579,"[0.702, 0.771]",0.22344653683539714,0.17656500399488326,"[0.126, 0.321]",0.6833333333333333,0.05945883900105633,"[0.650, 0.716]"
PCA+MLP,0.5333333333333333,0.24797528012478187,"[0.396, 0.671]",0.5414141414141415,0.07975732794691258,"[0.497, 0.586]",0.399859894635333,0.17925239148355107,"[0.301, 0.499]",0.4709371862565725,0.2963667073585962,"[0.307, 0.635]",0.061816777802460504,0.13349223546624897,"[-0.012, 0.136]",0.5994949494949495,0.16182120830976,"[0.510, 0.689]"
Voxel-MLP,0.6642857142857143,0.08076709487879548,"[0.620, 0.709]",0.6368686868686868,0.09083992077515622,"[0.587, 0.687]",0.5918254790694003,0.07435041144907913,"[0.551, 0.633]",0.6865744687052305,0.07137290912927463,"[0.647, 0.726]",0.21659358710239446,0.13634920593406077,"[0.141, 0.292]",0.7151515151515152,0.0906742999773041,"[0.665, 0.765]"
Dummy,0.6690476190476191,0.05641543806520877,"[0.638, 0.700]",0.49040404040404045,0.07252105202336569,"[0.450, 0.531]",0.48643910310627175,0.0803711643355726,"[0.442, 0.531]",0.660676075438769,0.05233605164012916,"[0.632, 0.690]",-0.021081488675111223,0.16021118036716112,"[-0.110, 0.068]",0.49040404040404045,0.07252105202336569,"[0.450, 0.531]"
