goruntu_yontemi,demografi_yontemi,F1_goruntu,F1_demografi,fark,p_corrected_ttest,p_wilcoxon
Tucker+MLP,Demografi+LogReg,0.3487394498852103,0.32253292884931073,0.026206521035899544,0.6808154192412397,0.45428466796875
Tucker+MLP,Demografi+MLP,0.3487394498852103,0.24670458338404438,0.10203486650116589,0.08458698009583454,0.0001220703125
Tucker+LogReg,Demografi+LogReg,0.4179179039608476,0.32253292884931073,0.09538497511153687,0.12850499158053874,0.00335693359375
Tucker+LogReg,Demografi+MLP,0.4179179039608476,0.24670458338404438,0.17121332057680322,0.001401243915571504,6.103515625e-05
Voxel-MLP,Demografi+LogReg,0.34408689305896367,0.32253292884931073,0.021553964209652943,0.716071451484185,0.42120361328125
Voxel-MLP,Demografi+MLP,0.34408689305896367,0.24670458338404438,0.09738230967491929,0.06674723335122845,0.00152587890625
