method,accuracy,accuracy_sd,accuracy_ci95,balanced_accuracy,balanced_accuracy_sd,balanced_accuracy_ci95,f1_macro,f1_macro_sd,f1_macro_ci95,f1_weighted,f1_weighted_sd,f1_weighted_ci95,kappa,kappa_sd,kappa_ci95,auc,auc_sd,auc_ci95
Tucker+MLP,0.7352380952380954,0.050034002044052193,"[0.708, 0.763]",0.7006666666666667,0.06766162308203402,"[0.663, 0.738]",0.6854608365895307,0.05627204827625136,"[0.654, 0.717]",0.7372088846258161,0.04717576894864656,"[0.711, 0.763]",0.3795301756955168,0.11230178120128657,"[0.317, 0.442]",0.7661333333333332,0.08109066060956245,"[0.721, 0.811]"
Tucker+LogReg,0.7085714285714285,0.0542104741743151,"[0.679, 0.739]",0.6359999999999999,0.06759120821949721,"[0.599, 0.673]",0.6306531839369199,0.07105705579667214,"[0.591, 0.670]",0.7015119297891206,0.05325667326440461,"[0.672, 0.731]",0.2726045317625202,0.13204806813166997,"[0.199, 0.346]",0.7104,0.06888167909020307,"[0.672, 0.749]"
PCA+MLP,0.5295238095238096,0.21047403575712412,"[0.413, 0.646]",0.5606666666666665,0.09713515375618703,"[0.507, 0.614]",0.4330071006948254,0.18727290375076458,"[0.329, 0.537]",0.45206135286988663,0.2595505126395245,"[0.308, 0.596]",0.11331587678491012,0.1926200779802439,"[0.007, 0.220]",0.6365333333333333,0.13148702633810716,"[0.564, 0.709]"
Voxel-MLP,0.702857142857143,0.08489403444617358,"[0.656, 0.750]",0.688,0.08342661445845687,"[0.642, 0.734]",0.6649587729243435,0.08424961929252354,"[0.618, 0.712]",0.7108826095704398,0.0797233809418566,"[0.667, 0.755]",0.3447783230820565,0.15958240969991375,"[0.256, 0.433]",0.7629333333333334,0.09072994990367739,"[0.713, 0.813]"
Dummy,0.6209523809523809,0.062472540128965554,"[0.586, 0.656]",0.5286666666666666,0.06685449730215469,"[0.492, 0.566]",0.5258039943281618,0.0685556019229018,"[0.488, 0.564]",0.6156358548100448,0.05690611971746063,"[0.584, 0.647]",0.05830870388269378,0.13744894422730242,"[-0.018, 0.134]",0.5286666666666666,0.06685449730215469,"[0.492, 0.566]"
